0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
41.0;18.0;85.0;22.0;32.0;28.0;52.0;58.0;85.0;73.0;63.0;58.0;94.0;99.0;19.0
35.0;97.0;58.0;29.0;27.0;68.0;60.0;78.0;73.0;88.0;69.0;71.0;62.0;81.0;52.0
96.0;90.0;65.0;11.0;99.0;67.0;75.0;32.0;27.0;50.0;86.0;84.0;27.0;13.0;91.0
82.0;72.0;12.0;16.0;76.0;68.0;80.0;77.0;71.0;71.0;25.0;35.0;86.0;27.0;10.0
16.0;30.0;85.0;58.0;57.0;79.0;71.0;50.0;59.0;65.0;67.0;29.0;15.0;61.0;83.0
61.0;16.0;20.0;49.0;52.0;57.0;77.0;18.0;51.0;59.0;62.0;26.0;38.0;13.0;94.0
94.0;85.0;56.0;59.0;56.0;85.0;76.0;28.0;77.0;19.0;73.0;81.0;55.0;90.0;80.0
16.0;81.0;95.0;12.0;21.0;93.0;36.0;24.0;57.0;38.0;61.0;72.0;53.0;81.0;33.0
21.0;77.0;23.0;13.0;79.0;30.0;56.0;95.0;42.0;87.0;29.0;96.0;66.0;95.0;18.0
69.0;28.0;52.0;20.0;84.0;71.0;37.0;83.0;75.0;91.0;32.0;20.0;37.0;45.0;54.0
94.0;33.0;94.0;65.0;68.0;79.0;24.0;58.0;51.0;18.0;59.0;26.0;57.0;21.0;83.0
95.0;91.0;71.0;45.0;28.0;13.0;18.0;58.0;32.0;91.0;39.0;92.0;93.0;53.0;43.0
87.0;85.0;55.0;50.0;67.0;45.0;80.0;68.0;33.0;92.0;27.0;79.0;31.0;52.0;84.0
63.0;61.0;20.0;38.0;66.0;82.0;54.0;38.0;60.0;69.0;27.0;49.0;57.0;62.0;28.0
85.0;64.0;57.0;53.0;28.0;87.0;43.0;24.0;46.0;79.0;41.0;62.0;87.0;36.0;44.0
12.0;93.0;44.0;49.0;65.0;81.0;71.0;89.0;11.0;61.0;59.0;61.0;89.0;54.0;11.0
66.0;29.0;99.0;91.0;44.0;35.0;18.0;36.0;76.0;66.0;99.0;98.0;14.0;85.0;50.0
15.0;66.0;50.0;47.0;41.0;30.0;47.0;82.0;10.0;52.0;38.0;24.0;59.0;80.0;22.0
87.0;34.0;47.0;12.0;94.0;79.0;16.0;52.0;77.0;74.0;62.0;51.0;76.0;35.0;84.0
15.0;36.0;46.0;62.0;83.0;57.0;16.0;47.0;14.0;19.0;62.0;42.0;77.0;14.0;28.0
76.0;86.0;17.0;24.0;65.0;57.0;69.0;35.0;65.0;85.0;58.0;76.0;37.0;66.0;76.0
65.0;14.0;50.0;98.0;38.0;43.0;81.0;19.0;66.0;84.0;11.0;15.0;39.0;14.0;19.0
27.0;85.0;37.0;30.0;89.0;43.0;81.0;14.0;83.0;14.0;22.0;87.0;64.0;86.0;98.0
53.0;62.0;88.0;24.0;76.0;78.0;83.0;99.0;82.0;14.0;26.0;75.0;71.0;27.0;30.0
98.0;97.0;11.0;81.0;29.0;33.0;20.0;59.0;97.0;70.0;72.0;64.0;48.0;47.0;84.0
38.0;42.0;59.0;82.0;57.0;46.0;53.0;67.0;10.0;75.0;88.0;47.0;44.0;50.0;69.0
83.0;63.0;66.0;47.0;45.0;10.0;87.0;30.0;94.0;41.0;13.0;59.0;72.0;93.0;68.0
35.0;59.0;92.0;62.0;47.0;34.0;67.0;84.0;97.0;57.0;92.0;61.0;10.0;49.0;33.0
90.0;48.0;59.0;17.0;56.0;96.0;55.0;95.0;81.0;21.0;50.0;94.0;27.0;81.0;47.0
85.0;20.0;88.0;34.0;22.0;82.0;21.0;87.0;83.0;16.0;93.0;31.0;62.0;44.0;28.0
11.0;30.0;99.0;71.0;18.0;63.0;86.0;24.0;31.0;79.0;87.0;99.0;22.0;89.0;89.0
43.0;75.0;79.0;15.0;58.0;60.0;55.0;77.0;30.0;27.0;25.0;92.0;12.0;53.0;18.0
56.0;77.0;52.0;96.0;55.0;93.0;50.0;60.0;61.0;95.0;40.0;72.0;66.0;15.0;87.0
29.0;47.0;57.0;16.0;34.0;63.0;66.0;53.0;68.0;94.0;32.0;59.0;96.0;51.0;54.0
77.0;24.0;56.0;47.0;52.0;67.0;42.0;22.0;53.0;23.0;97.0;10.0;82.0;52.0;52.0
75.0;43.0;88.0;92.0;58.0;60.0;97.0;95.0;81.0;78.0;51.0;67.0;99.0;56.0;59.0
40.0;29.0;29.0;72.0;99.0;63.0;43.0;64.0;25.0;84.0;28.0;99.0;18.0;81.0;71.0
44.0;16.0;49.0;63.0;14.0;28.0;57.0;45.0;75.0;96.0;89.0;39.0;51.0;74.0;38.0
92.0;85.0;43.0;95.0;14.0;66.0;11.0;11.0;82.0;42.0;83.0;94.0;27.0;45.0;95.0
28.0;75.0;49.0;66.0;61.0;32.0;33.0;56.0;31.0;68.0;69.0;62.0;14.0;46.0;28.0
21.0;84.0;74.0;61.0;52.0;57.0;46.0;67.0;53.0;89.0;60.0;51.0;58.0;32.0;55.0
91.0;75.0;52.0;32.0;21.0;70.0;51.0;37.0;53.0;34.0;72.0;83.0;60.0;82.0;81.0
71.0;23.0;18.0;13.0;32.0;33.0;91.0;90.0;11.0;93.0;50.0;93.0;52.0;89.0;16.0
35.0;46.0;81.0;69.0;81.0;33.0;58.0;90.0;21.0;81.0;65.0;11.0;67.0;23.0;34.0
69.0;30.0;48.0;51.0;95.0;27.0;85.0;60.0;95.0;99.0;53.0;71.0;14.0;60.0;75.0
61.0;66.0;87.0;77.0;25.0;62.0;80.0;11.0;91.0;45.0;87.0;43.0;96.0;91.0;68.0
87.0;48.0;11.0;27.0;49.0;66.0;50.0;61.0;38.0;51.0;38.0;82.0;17.0;76.0;48.0
66.0;13.0;34.0;68.0;99.0;94.0;63.0;18.0;16.0;14.0;56.0;26.0;91.0;74.0;15.0
31.0;42.0;89.0;20.0;24.0;31.0;53.0;36.0;36.0;32.0;17.0;91.0;13.0;17.0;16.0
37.0;16.0;75.0;19.0;88.0;82.0;72.0;90.0;76.0;75.0;94.0;84.0;92.0;36.0;97.0
80.0;74.0;20.0;63.0;27.0;27.0;44.0;32.0;43.0;25.0;54.0;88.0;15.0;50.0;97.0
92.0;97.0;34.0;46.0;46.0;25.0;40.0;28.0;64.0;77.0;36.0;62.0;71.0;45.0;83.0
98.0;94.0;27.0;42.0;74.0;17.0;87.0;64.0;59.0;38.0;59.0;29.0;23.0;46.0;19.0
39.0;77.0;61.0;57.0;62.0;53.0;13.0;49.0;72.0;96.0;24.0;27.0;32.0;96.0;71.0
97.0;82.0;29.0;22.0;14.0;75.0;93.0;49.0;38.0;62.0;38.0;92.0;19.0;24.0;33.0
28.0;15.0;46.0;33.0;13.0;24.0;39.0;68.0;43.0;22.0;73.0;88.0;53.0;76.0;74.0
25.0;11.0;72.0;28.0;97.0;57.0;71.0;29.0;31.0;56.0;67.0;50.0;73.0;83.0;53.0
36.0;84.0;26.0;79.0;49.0;68.0;66.0;51.0;28.0;74.0;77.0;15.0;57.0;31.0;72.0
76.0;74.0;17.0;64.0;75.0;10.0;44.0;66.0;60.0;10.0;38.0;61.0;75.0;67.0;16.0
68.0;94.0;63.0;76.0;38.0;97.0;56.0;48.0;54.0;41.0;12.0;15.0;26.0;86.0;93.0
93.0;96.0;41.0;75.0;13.0;11.0;58.0;62.0;17.0;89.0;34.0;79.0;98.0;54.0;12.0
47.0;29.0;64.0;73.0;23.0;82.0;95.0;30.0;59.0;39.0;36.0;23.0;38.0;61.0;98.0
14.0;29.0;97.0;30.0;70.0;23.0;39.0;50.0;55.0;61.0;16.0;69.0;48.0;98.0;63.0
23.0;65.0;28.0;15.0;29.0;93.0;72.0;16.0;18.0;65.0;40.0;47.0;72.0;32.0;16.0
40.0;96.0;36.0;52.0;30.0;17.0;34.0;76.0;18.0;14.0;57.0;62.0;90.0;48.0;50.0
39.0;99.0;88.0;53.0;58.0;35.0;46.0;74.0;39.0;73.0;31.0;54.0;62.0;54.0;23.0
33.0;61.0;26.0;26.0;64.0;52.0;76.0;26.0;16.0;86.0;56.0;74.0;93.0;36.0;10.0
77.0;87.0;70.0;97.0;88.0;44.0;81.0;42.0;21.0;80.0;80.0;27.0;58.0;69.0;58.0
47.0;32.0;28.0;48.0;95.0;79.0;21.0;37.0;10.0;99.0;52.0;50.0;28.0;90.0;75.0
94.0;98.0;17.0;93.0;16.0;78.0;40.0;37.0;92.0;32.0;76.0;25.0;26.0;99.0;54.0
73.0;27.0;13.0;21.0;43.0;98.0;58.0;19.0;36.0;75.0;25.0;20.0;59.0;10.0;97.0
61.0;70.0;45.0;12.0;82.0;68.0;36.0;31.0;96.0;54.0;51.0;67.0;47.0;46.0;21.0
29.0;27.0;37.0;25.0;29.0;90.0;82.0;32.0;79.0;11.0;25.0;40.0;73.0;63.0;44.0
22.0;33.0;48.0;99.0;83.0;56.0;27.0;66.0;14.0;37.0;32.0;41.0;26.0;24.0;72.0
84.0;50.0;69.0;36.0;71.0;81.0;32.0;83.0;34.0;63.0;97.0;96.0;81.0;85.0;19.0
